country,year,co2,coal_co2,cement_co2,gas_co2,oil_co2,methane
Afghanistan,1991,2.427,0.249,0.046,0.388,1.718,9.07
Afghanistan,1992,1.379,0.022,0.046,0.363,0.927,9
Afghanistan,1993,1.333,0.018,0.047,0.352,0.894,8.9
Afghanistan,1994,1.282,0.015,0.047,0.338,0.86,8.97
Afghanistan,1995,1.23,0.015,0.047,0.322,0.824,9.15
Afghanistan,1996,1.165,0.007,0.047,0.308,0.78,9.93
Afghanistan,1997,1.084,0.004,0.047,0.283,0.728,10.6
Afghanistan,1998,1.029,0.004,0.047,0.265,0.691,11.1
Afghanistan,1999,0.81,0.004,0.047,0.242,0.495,11.87
Afghanistan,2000,0.758,0.004,0.01,0.224,0.498,10.59
Afghanistan,2001,0.798,0.07,0.007,0.209,0.491,9.36
Afghanistan,2002,1.052,0.055,0.011,0.546,0.44,11.21
Afghanistan,2003,1.186,0.092,0.01,0.465,0.619,11.56
Afghanistan,2004,0.889,0.092,0.01,0.227,0.561,11.47
Afghanistan,2005,1.303,0.106,0.006,0.33,0.861,11.68
Afghanistan,2006,1.635,0.161,0.012,0.329,1.133,14.89
Afghanistan,2007,2.269,0.749,0.012,0.308,1.2,18.1
Afghanistan,2008,4.2,1.077,0.015,0.297,2.81,22.19
Afghanistan,2009,6.74,1.513,0.013,0.271,4.943,25.43
Afghanistan,2010,8.398,2.246,0.015,0.271,5.866,30.04
Afghanistan,2011,12.106,4.181,0.015,0.308,7.603,39.48
Afghanistan,2012,10.219,3.125,0.029,0.308,6.756,48.78
Afghanistan,2013,8.441,3.327,0.036,0.297,4.782,58.13
Afghanistan,2014,7.774,3.704,0.029,0.271,3.77,67.77
Afghanistan,2015,7.904,2.843,0.041,0.282,4.738,76.62
Afghanistan,2016,6.745,2.878,0.076,0.319,3.472,78.17
Afghanistan,2017,6.86,3.448,0.045,0.3,3.067,78.17
Afghanistan,2018,8.345,3.849,0.057,0.293,4.146,78.17
Afghanistan,2019,12.147,7.531,0.038,0.306,4.272,78.17
Afghanistan,2020,12.16,7.508,0.061,0.314,4.277,78.17
Albania,1991,4.228,1.48,0.245,0.275,2.228,3.62
Albania,1992,2.495,0.8,0.081,0.198,1.416,3.52
Albania,1993,2.316,0.6,0.08,0.157,1.478,3.58
Albania,1994,1.913,0.169,0.04,0.099,1.605,4.15
Albania,1995,2.066,0.161,0.081,0.051,1.773,4.13
Albania,1996,1.993,0.114,0.081,0.044,1.755,3.96
Albania,1997,1.532,0.044,0.04,0.037,1.411,3.77
Albania,1998,1.744,0.055,0.033,0.033,1.623,3.63
Albania,1999,2.975,0.11,0.044,0.029,2.792,3.7
Albania,2000,3.004,0.07,0.073,0.022,2.84,3.79
Albania,2001,3.221,0.081,0.231,0.015,3.125,3.7
Albania,2002,3.748,0.084,0.231,0.026,3.638,3.64
Albania,2003,4.232,0.084,0.231,0.026,3.891,3.68
Albania,2004,4.104,0.084,0.227,0.033,3.759,3.59
Albania,2005,4.199,0.073,0.194,0.022,3.91,3.58
Albania,2006,3.844,0.073,0.209,0.022,3.54,3.53
Albania,2007,3.829,0.073,0.348,0.033,3.375,3.52
Albania,2008,4.272,0.103,0.359,0.015,3.796,3.23
Albania,2009,4.254,0.388,0.432,0.018,3.415,3.12
Albania,2010,4.448,0.429,0.502,0.026,3.492,3.12
Albania,2011,5.031,0.535,0.692,0.029,3.774,3.15
Albania,2012,4.668,0.627,0.857,0.029,3.155,3.23
Albania,2013,4.928,0.795,0.769,0.033,3.331,3.19
Albania,2014,5.621,1.029,0.677,0.059,3.856,3.23
Albania,2015,4.496,0.322,0.773,0.062,3.338,3.26
Albania,2016,4.492,0.191,0.78,0.161,3.36,3.25
Albania,2017,5.302,0.275,0.78,0.168,4.079,3.25
Albania,2018,4.734,0.473,0.78,0.15,3.331,3.25
Albania,2019,4.863,0.549,0.78,0.155,3.379,3.25
Albania,2020,4.535,0.461,0.78,0.153,3.14,3.25
Algeria,1991,78.807,2.689,2.969,38.428,26.066,22.19
Algeria,1992,79.883,2.378,2.998,31.932,28.678,22.61
Algeria,1993,81.944,1.924,2.988,36.098,27.993,22.91
Algeria,1994,86.147,2.286,2.821,37.386,30.45,22.97
Algeria,1995,94.981,1.935,3.165,47.222,27.081,25.74
Algeria,1996,96.786,1.407,3.006,50.567,27.407,28.51
Algeria,1997,87.005,1.381,3.271,39.007,30.019,31.24
Algeria,1998,106.621,2.11,3.446,54.641,33.09,34.23
Algeria,1999,91.668,2.173,3.435,50.92,22.188,37.2
Algeria,2000,82.221,1.96,3.789,38.534,26.828,40.16
Algeria,2001,83.78,2.096,3.766,41.029,28.458,41.65
Algeria,2002,89.407,2.609,4.058,44.653,29.495,43.18
Algeria,2003,91.048,2.788,4.032,44.027,31.943,45.03
Algeria,2004,87.853,1.924,4.897,41.209,32.818,46.93
Algeria,2005,106.473,2.363,5.662,61.211,31.052,48.69
Algeria,2006,100.203,2.7,6.54,49.306,35.233,48.58
Algeria,2007,108.402,3.012,7.001,51.076,38.322,48.53
Algeria,2008,109.032,3.008,7.583,51.551,37.363,48.18
Algeria,2009,120.185,1.594,8.22,54.894,44.891,48.19
Algeria,2010,117.813,1.216,8.252,53.368,45.365,48.23
Algeria,2011,119.808,1.048,8.187,56.721,46.92,48.49
Algeria,2012,128.111,1.037,7.697,64.114,48.539,48.98
Algeria,2013,132.435,0.725,7.298,65.45,51.919,48.89
Algeria,2014,142.529,0.546,7.668,73.833,52.886,49.29
Algeria,2015,149.683,0.502,8.062,78.769,55.59,49.32
Algeria,2016,148.929,0.795,9.356,78.677,54.627,49.44
Algeria,2017,154.936,0.795,10.71,82.352,55.308,49.44
Algeria,2018,161.487,1.33,10.749,88.887,54.922,49.44
Algeria,2019,166.642,1.099,10.749,92.436,56.759,49.44
Algeria,2020,154.995,1.099,10.749,88.219,49.33,49.44
Argentina,1991,117.506,2.689,2.196,47.284,61.233,113.82
Argentina,1992,121.231,2.803,2.495,48.303,63.633,115.63
Argentina,1993,117.777,2.301,2.761,40.809,67.154,115.12
Argentina,1994,122.229,3.561,3.05,42.677,67.203,116.59
Argentina,1995,127.765,3.701,2.621,53.195,62.836,116.99
Argentina,1996,134.762,3.1,2.422,57.542,65.921,111.1
Argentina,1997,137.641,2.777,3.169,61.504,66.868,111.69
Argentina,1998,139.452,2.84,3.283,61.614,69.576,110.1
Argentina,1999,147.285,2.154,3.29,67.621,72.725,113.89
Argentina,2000,142.358,1.656,2.771,69.438,67.434,112.96
Argentina,2001,134.004,1.29,2.481,64.809,64.336,117.39
Argentina,2002,124.392,1.099,1.729,62.62,57.497,122.19
Argentina,2003,134.631,1.99,2.28,69.07,59.357,130.69
Argentina,2004,157.043,2.198,2.701,82.911,67.812,134.43
Argentina,2005,161.434,3.268,3.241,81.967,71.8,129.37
Argentina,2006,174.609,3.866,3.764,83.869,81.912,132.85
Argentina,2007,174.246,3.66,3.998,87.178,77.952,131.63
Argentina,2008,188.106,3.877,3.99,90.12,88.658,132.83
Argentina,2009,178.949,3.232,3.81,87.995,82.381,128.28
Argentina,2010,186.733,3.99,4.178,86.928,90.145,115.71
Argentina,2011,190.274,4.723,4.586,92.587,86.908,115.53
Argentina,2012,191.715,5.009,4.184,95.381,85.587,121.03
Argentina,2013,190.133,4.84,4.581,91.338,87.487,119.75
Argentina,2014,188.657,5.536,4.336,92.844,84.292,118.12
Argentina,2015,192.406,5.467,4.571,93.535,86.954,117.37
Argentina,2016,190.977,4.192,4.029,96.303,84.556,121.54
Argentina,2017,187.805,4.279,4.421,96.442,80.856,121.54
Argentina,2018,181.1,4.356,4.378,96.125,74.394,121.54
Argentina,2019,167.566,2.582,4.097,91.892,67.149,121.54
Argentina,2020,156.978,2.816,3.649,86.702,61.965,121.54
Armenia,1991,7.288,0.606,0.299,3.479,2.815,3.42
Armenia,1992,5.863,0.374,0.239,3.477,1.773,3.17
Armenia,1993,2.575,0.007,0.12,1.508,0.939,2.94
Armenia,1994,2.713,0.095,0.061,1.616,0.942,2.77
Armenia,1995,3.433,0.007,0.139,2.616,0.671,2.61
Armenia,1996,2.595,0.015,0.174,2.041,0.366,2.46
Armenia,1997,3.269,0.015,0.184,2.678,0.392,2.3
Armenia,1998,3.397,0.015,0.187,2.789,0.406,2.1
Armenia,1999,3.05,0.007,0.181,2.275,0.586,1.95
