country,year,population,gdp,primary_energy_consumption
Afghanistan,1991,13299016,12047361709,13.651
Afghanistan,1992,14485543,12677538632,8.961
Afghanistan,1993,15816601,9834581108,8.935
Afghanistan,1994,17075728,7919857156,8.617
Afghanistan,1995,18110662,12307526078,7.246
Afghanistan,1996,18853444,12070125458,7.119
Afghanistan,1997,19357126,11850751939,6.799
Afghanistan,1998,19737770,11692172338,6.618
Afghanistan,1999,20170847,11517317327,6.612
Afghanistan,2000,20779957,11283793215,5.777
Afghanistan,2001,21606992,11021272774,4.481
Afghanistan,2002,22600774,18804871760,4.262
Afghanistan,2003,23680871,21074344026,5.041
Afghanistan,2004,24726689,22332571931,4.669
Afghanistan,2005,25654274,25397687314,6.009
Afghanistan,2006,26433058,28704401076,7.286
Afghanistan,2007,27100542,34507529623,9.407
Afghanistan,2008,27722281,36561042624,16.397
Afghanistan,2009,28394806,44358719970,26.808
Afghanistan,2010,29185511,47399424664,33.194
Afghanistan,2011,30117411,53326336000,44.997
Afghanistan,2012,31161378,59166900000,40.273
Afghanistan,2013,32269592,62993700000,32.809
Afghanistan,2014,33370803,64346106000,29.678
Afghanistan,2015,34413603,62783392000,32.917
Afghanistan,2016,35383028,64297428000,35.737
Afghanistan,2017,36296111,68752802576,35.737
Afghanistan,2018,37171922,67594970923,35.737
Afghanistan,2019,38041757,67594970923,35.737
Afghanistan,2020,38928341,67594970923,35.737
Albania,1991,3280397,9375844364,32.27
Albania,1992,3245887,8745680482,25.537
Albania,1993,3195196,9636359518,21.771
Albania,1994,3146518,10596127427,20.456
Albania,1995,3112923,11600734290,21.98
Albania,1996,3098699,12727381011,24.616
Albania,1997,3099747,11396508054,22.247
Albania,1998,3110699,12466707298,23.725
Albania,1999,3122700,14151858218,21.708
Albania,2000,3129246,15214264325,27.313
Albania,2001,3129701,16563844505,25.18
Albania,2002,3126183,17408065340,27.144
Albania,2003,3118017,18465496190,32.027
Albania,2004,3104893,19587881913,34.837
Albania,2005,3086810,20781075932,34.45
Albania,2006,3063021,22124285121,32.07
Albania,2007,3033993,23574646689,25.174
Albania,2008,3002683,25476937521,28.165
Albania,2009,2973044,26471389956,32.405
Albania,2010,2948029,27598267514,38.863
Albania,2011,2928601,28452650602,28.64
Albania,2012,2914091,28855377407,29.163
Albania,2013,2903788,29142643401,37.024
Albania,2014,2896307,29675640629,31.828
Albania,2015,2890524,30444532035,33.685
Albania,2016,2886427,31481821923,39.446
Albania,2017,2884169,32678760786,39.446
Albania,2018,2882735,34009113045,39.446
Albania,2019,2880913,34009113045,39.446
Albania,2020,2877800,34009113045,39.446
Algeria,1991,26400468,1.21105E+11,312.043
Algeria,1992,27028330,1.27983E+11,320.191
Algeria,1993,27635517,1.30276E+11,297.932
Algeria,1994,28213777,1.3428E+11,301.892
Algeria,1995,28757788,1.45055E+11,313.11
Algeria,1996,29266415,1.56579E+11,309.901
Algeria,1997,29742980,1.64644E+11,297.847
Algeria,1998,30192750,1.79963E+11,308.311
Algeria,1999,30623406,1.9318E+11,311.398
Algeria,2000,31042238,2.08554E+11,299.936
Algeria,2001,31451513,2.2342E+11,310.801
Algeria,2002,31855110,2.45361E+11,321.941
Algeria,2003,32264159,2.73569E+11,336.876
Algeria,2004,32692153,2.96774E+11,349.734
Algeria,2005,33149720,3.26854E+11,366.175
Algeria,2006,33641007,3.45705E+11,379.183
Algeria,2007,34166976,3.71665E+11,399.601
Algeria,2008,34730604,3.95659E+11,423.509
Algeria,2009,35333882,4.18248E+11,448.802
Algeria,2010,35977451,4.50706E+11,437.402
Algeria,2011,36661438,4.82035E+11,464.422
Algeria,2012,37383899,4.97923E+11,507.603
Algeria,2013,38140135,5.11888E+11,536.956
Algeria,2014,38923688,5.31308E+11,585.572
Algeria,2015,39728020,5.51519E+11,617.482
Algeria,2016,40551398,5.74696E+11,616.819
Algeria,2017,41389174,5.82167E+11,623.512
Algeria,2018,42228415,5.90318E+11,672.071
